country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,569.0,2220.0,5370.0,7280.0,40600.0,45100.0,99600.0,149000.0,582000.0,803000.0,946000.0,1050000.0,1300000.0,1410000.0,1580000.0,1610000.0,1620000.0,1720000.0,1740000.0,1800000.0,2040000.0,2170000.0,2330000.0,2310000.0
Belarus,0.0,0.0,0.0,0.0,49.0,294.0,2940.0,4910.0,7370.0,49100.0,184000.0,422000.0,872000.0,866000.0,861000.0,856000.0,1540000.0,1870000.0,2170000.0,2590000.0,3000000.0,3730000.0,4420000.0,5100000.0,5570000.0,5870000.0,6720000.0,7030000.0,7480000.0,7830000.0
Belize,0.0,0.0,0.0,0.0,0.0,94.0,1890.0,2860.0,4820.0,9740.0,14700.0,15200.0,14900.0,15300.0,27100.0,48200.0,69900.0,73600.0,80700.0,85600.0,90900.0,101000.0,105000.0,116000.0,137000.0,150000.0,164000.0,177000.0,180000.0,184000.0
Bolivia,0.0,0.0,0.0,0.0,0.0,5090.0,15300.0,35500.0,50700.0,81100.0,121000.0,182000.0,273000.0,312000.0,403000.0,483000.0,583000.0,1000000.0,1220000.0,1660000.0,2250000.0,3060000.0,3670000.0,3900000.0,3700000.0,3870000.0,4380000.0,4910000.0,4980000.0,5050000.0
Brazil,0.0,4990.0,20000.0,40000.0,60100.0,170000.0,742000.0,1310000.0,2510000.0,3510000.0,5020000.0,8020000.0,16399999.999999998,24000000.0,35100000.0,39100000.0,53000000.0,58700000.0,65000000.0,76000000.0,79600000.0,90200000.0,96800000.0,103000000.0,111000000.0,119000000.0,125000000.0,140000000.0,141000000.0,142000000.0
Barbados,0.0,0.0,0.0,0.0,0.0,21.0,1040.0,2100.0,5310.0,6430.0,10800.0,32500.0,76100.0,109000.0,137000.0,145000.0,153000.0,162000.0,172000.0,182000.0,184000.0,188000.0,202000.0,204000.0,214000.0,217000.0,227000.0,234000.0,234000.0,235000.0
Brunei,0.0,0.0,0.0,0.0,0.0,3020.0,10100.0,15100.0,20100.0,25000.0,30000.0,43900.0,53200.0,69200.0,107000.0,133000.0,156000.0,168000.0,175000.0,188000.0,206000.0,220000.0,240000.0,261000.0,282000.0,295000.0,378000.0,403000.0,406000.0,412000.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,198.75,397.5,596.25,795.0,2370.0,5220.0,10300.0,15300.0,20200.0,25000.0,29700.0,39400.0,44000.0,48600.0,93200.0,99800.0,109000.0,159000.0,218000.0,290000.0,308000.0,359000.0,363000.0,367000.0
Botswana,0.0,0.0,0.0,0.0,0.0,948.0,2370.0,4740.0,9490.0,18100.0,47700.0,57500.0,57700.0,58000.0,58300.0,58700.0,78800.0,99000.0,120000.0,120000.0,119000.0,181000.0,326000.0,619000.0,767000.0,791000.0,850000.0,1040000.0,1060000.0,1080000.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,194.0,484.0,969.0,1460.0,1940.0,2920.0,4890.0,5880.0,8850.0,10800.0,12800.0,15800.0,42700.0,78100.0,87700.0,97200.0,133000.0,151000.0,161000.0,171000.0,182000.0,199000.0,202000.0,206000.0
Canada,99400.0,159000.0,259000.0,338000.0,687000.0,1210000.0,1990000.0,4480000.0,7470000.0,11000000.0,15700000.0,18600000.0,19200000.0,20200000.0,21000000.0,23000000.0,23600000.0,24100000.0,25600000.0,27100000.0,27400000.0,28700000.0,29000000.0,30300000.0,31100000.0,32400000.0,33200000.000000004,33400000.0,33700000.0,34000000.0
